"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0001421","0027930668","Whisl Telecom, LLC","5435 N. Garland Ave.
Suite 140-507
Garland TX 75040","No","United States of America","None","None","None","Jose Olivar","CTO","Operations","5435 N. Garland Ave.
Suite 140-507
Garland TX 75040","United States of America","201-316-7834","","Complete STIR/SHAKEN Implementation","No","Yes","Yes","2024-10-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ed146c371b2728107ccf20ecac4bcbd5&view=sp"
"RMD0001422","0027249580","LP Telecom","1332 Teasley Lane
Ste 100C
Denton TX 76205","No","United States of America","None","Landing Point Telecom","None","Musleuddin Ahmed","CFO","Fianance","1332 Teasley Lane
Ste 100C
Denton TX 76205","United States of America","2146201515","","Complete STIR/SHAKEN Implementation","No","Yes","Yes","2024-12-12","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9278687f1b2728107ccf20ecac4bcb12&view=sp"
"RMD0001423","0025544289","200 Networks LLC","10580 N McCarran Blvd 115-302
Reno NV 89503","No","United States of America","none","none","none","Omar Luna","Chief Executive Officer","Executive Team","526 South Main Street,�Suite 802,
Akron OH 44311","United States of America","8325060905","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2b74b8331ba728107ccf20ecac4bcb29&view=sp"
"RMD0001424","0004285623","Brazos Telephone Cooperative, Inc.","109 N Ave D
Olney TX 76374","No","United States of America","None","Brazos Communications","None","Matt Walser","Network Engineer","Central Office","109 N Ave D
Olney TX 76374","United States of America","9405645659","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-08","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=40aec8081bf368107ccf20ecac4bcba5&view=sp"
"RMD0001425","0004330023","Network Communications International Corp. a/k/a NCIC Inmate Communications","PO BOX 551
Longview TX 75606","No","United States of America","None","NCIC Inmate Communications
NCIC Inmate Phone Services
NCIC Correctional Services","NCIC Operator Services","William Pope","President","Admin","PO BOX 551
Longview TX 75606","United States of America","903-757-4455","1001","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=13c7d4c81b3768107ccf20ecac4bcbcf&view=sp"
"RMD0001427","0017096538","US Internet Corp","12450 Wayzata Blvd.
Suite 315
Minnetonka MN 55305","No","United States of America","None","None","None","Steven Wheeler","Senior Software Engineer","Ravon","12450 Wayzata Blvd.
Minnetonka MN 55305","United States of America","9522533252","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-04-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=76201d441bfb68107ccf20ecac4bcbbc&view=sp"
"RMD0001428","0030531503","Fonative, LLC","700 District Avenue
9th Floor
Burlington MA 01803","No","United States of America","None","None","Ampersand, Inc.","Angela Erwin","Vice President Risk and Compliance","Risk/Legal","700 District Avenue
9th Floor
Burlington MA 01803","United States of America","7657517236","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-03","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ea46e9881b7f681002beea82f54bcbc0&view=sp"
"RMD0001429","0003734167","Columbus Communications Services","224 S. Kansas
Columbus KS 66725","No","United States of America","0023333917","Fiber Communications of Columbus, LLC
Optic Communications","None","GENE HAMILTON","Plant Manager","Plant","224 S Kansas Ave
Columbus KS 66725","United States of America","6204293132","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-03-12","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=961673b01bb724107ccf20ecac4bcb9a&view=sp"
"RMD0001432","0030842355","Aloha Tone","518 Holokahana Lane
Honolulu HI 96817","No","United States of America","None","None","None","Aryn Nakaoka","President","Tech Support","518 Holokahana Lane
Honolulu HI 96817","United States of America","8088411000","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5bd725091b37e01002beea82f54bcb7c&view=sp"
"RMD0001433","0024200370","MULTITEL LLC","4103 Oak Tree Circle
Rochester MI 48306","No","United States of America","None","None","None","Dan Caescu","CEO","Executive","4103 Oak Tree Circle
Rochester MI 48306","United States of America","8886868581","101","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-19","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=efbdb4dd1b73a4107ccf20ecac4bcb05&view=sp"
"RMD0001437","0001551241","The Siskiyou Telephone Co.","PO Box 157
30 Telco Way
Etna CA 96027","No","United States of America","0011131513","None","None","Mark Apland","Operations Manager","Operations","PO Box 157
30 Telco Way
Etna CA 96027","United States of America","5304676000","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ec9201991bb3241002beea82f54bcbec&view=sp"
"RMD0001438","0027511286","NT telecom","104 Parkville Ave.
Brooklyn NY 11230","No","United States of America","none","none","none","Nathan Turbiner","CTO","Management","N/A","United States of America","3477261869","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-02-22","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=541d81dd1bf3241002beea82f54bcbdc&view=sp"
"RMD0001439","0020926788","LTD Broadband LLC","69 Teahouse St
Las Vegas NV 89138","No","United States of America","None","None","None","Corey Hauer","CEO","Administration","69 Teahouse St
Las Vegas NV 89138","United States of America","507-318-0143","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8e5ebddd1b33641064c4426de54bcb18&view=sp"
"RMD0001440","0018456251","Computer Telephony Innovations, Inc.","1723 N. Walnut St.
Wahoo NE 68066","No","United States of America","None","Voxtelesys","None","Bruce Burke","Manager","Business","509 25th Ave N
Fargo ND 58102","United States of America","7012648100","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-06-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5ad2f1e91b73a41064c4426de54bcb23&view=sp"
"RMD0001441","0025466137","Infotel Systems, Inc.","6008 Hermitage Road
Henrico VA 23228","No","United States of America","None","None","None","Dorothye Brodersen","Compliance Officer","Accounting","6008 Hermitage Road
Henrico VA 23228","United States of America","804-264-4205","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-01-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0c30c6a11b3f64102eb2a82fe54bcb43&view=sp"
"RMD0001442","0030209019","Clearly IP Inc.","3255 W Highview Dr
Appleton WI 54914","No","United States of America","None","None","None","Tony Lewis","CEO","NOC","3255 W Highview Dr
Appleton WI 54914","United States of America","9203833100","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-09","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9cb3b6691b3328107ccf20ecac4bcb7e&view=sp"
"RMD0001443","0028809465","3 Billionaires Corporation","4140 Union St.
Suite 14D
Flushiing NY 11355","No","United States of America","None","Ucall","None","Steve Wang","President","Management","4140 Union St.
Flushiing NY 11355","United States of America","347-266-0000","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c1b72b211b7728107ccf20ecac4bcbf3&view=sp"
"RMD0001444","0017591066","Vonage Business Inc.","101 Crawfords Corner Road, Suite 2416
Holmdel NJ 07733","No","United States of America","Vonage Holdings Corp.: 0018401844 & 0015311582; Vonage America LLC: 0029173770 &0018859546; Vonage Business Inc.: 0017591066","None","Vonage Business Solutions, Inc., 
Vonage Business Networks Inc.
Nexmo Inc.","Carol Keith","Director, Legal Counsel","Legal","101 Crawfords Corner Road, Suite 2416
Holmdel NJ 07733","United States of America","864 477 9651","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-11-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d93e1bfd1bfb68107ccf20ecac4bcb98&view=sp"
"RMD0001445","0001685718","Valley Telephone Cooperative, Inc.","881 E Hidalgo Ave
Raymondville TX 78580","No","United States of America","none","none","none","Michael Saenz","Core and Voice Network Supervisor","Network","480 S 6th Street
Raymondville TX 78580","United States of America","8006879725","161","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9e1b8c4e1bbfe4109294113d9c4bcb79&view=sp"
"RMD0001446","0017535386","VTX Communications, LLC","881 E. Hidalgo Ave
Raymondville TX 78580","No","United States of America","none","SolidPhone, ComCanada Communications, Rock Solid Internet & Telephone, Ranch Wireless","none","Michael Saenz","Core & Voice Network Supervisor","Network","480 S 6th Street
Raymondville TX 78580","United States of America","8006879725","161","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c8cb4cce1bbfe4109294113d9c4bcbb9&view=sp"
"RMD0001447","0001952605","Surry Telephone Membership Corporation","819 E Atkins St
PO Box 385
Dobson NC 27017","No","United States of America","0010104388","Surry Communications
Piedmont Communications","None","Scott Mosley","Operations Manager","Operations","819 E Atkins St
PO Box 385
Dobson NC 27017","United States of America","3363745021","133","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-08-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1d87904a1bf7281064c4426de54bcb23&view=sp"
"RMD0001448","0013563077","YMax Communications Corp.","931 Village Blvd
Suite 905 Box 386
West Palm Beach FL 33409","No","United States of America","None","None","None","Tina Tecce","Regulatory Compliance Manager","Regulatory","931 Village Blvd
West Palm Beach FL 33409","United States of America","9088067096","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=538604121b73681002beea82f54bcb98&view=sp"
"RMD0001449","0022777379","Bulk Solutions, LLC","704 N. King Street
uite 500
Wilmington DE 19801","No","United States of America","None","None","None","NOC Manager","NOC Manager","Network Operations Center","1201 N Orange Street
Suite #7125
Wilmington DE 19801","United States of America","8559060901","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c0a500921b3b681064c4426de54bcb45&view=sp"
"RMD0001450","0028107282","White Cloud Communications US LLC DBA: Broadlinc","150 PROGRESS WAY
OWENTON KY 40359","No","United States of America","None","Broadlinc","Inside Connect","TJ Scott","Chief Operations Officer","Executive","150 PROGRESS WAY
OWENTON KY 40359","United States of America","5022154111","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=87ec18521bb768109294113d9c4bcb8a&view=sp"
"RMD0001452","0003749819","Cassadaga Telephone Corporation","40 TEMPLE ST
PO BOX 209
FREDONIA NY 14063","No","United States of America","NONE","NONE","NONE","Wade A Weatherlow","industry Affairs","Regulatory","40 TEMPLE ST
FREDONIA NY 14063","United States of America","716-673-3091","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=16a6119a1b73a81064c4426de54bcb2c&view=sp"
"RMD0001453","0003414224","Dunkirk and Fredonia Telephone Company","40 Temple St
PO BOX 209
Fredonia NY 14063","No","United States of America","NONE","NONE","NONE","Wade A Weatherlow","Industry Affairs","Regulatory","40 Temple St
Fredonia NY 14063","United States of America","716-673-3091","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a8975dda1b73a81064c4426de54bcb6f&view=sp"
"RMD0001454","0003749843","DFT Local Service Corporation","40 TEMPLE ST
PO BOX 209
FREDONIA NY 14063","No","United States of America","NONE","NONE","NONE","Wade A Weatherlow","Industry Affairs","Regulatory","40 TEMPLE ST
FREDONIA NY 14063","United States of America","716-673-3091","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=59f7d91e1b73a81064c4426de54bcb10&view=sp"
"RMD0001455","0004331047","Thacker-Grigsby Telephone Co., Inc.","60 Communications Lane
PO Box 789
Hindman KY 41822","No","United States of America","None","None","None","Kimberly Jones","Accounting Supervisor","Accounting","60 Communications Lane
Hindman KY 41822","United States of America","606-785-2226","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=90abab471bff2c109294113d9c4bcb3c&view=sp"
"RMD0001456","0019368158","One Ring Networks, Inc.","4000 Dekalb Technology Parkway
Suite 450
Atlanta GA 30340","No","United States of America","None","None","None","Jason Fisher","Director, Voice Engineering","Voice","1909 N Glennville Dr Suite 106
Richardson TX 75081","United States of America","214-382-9990","2003","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-09-19","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d01aa41b1bfb6c1002beea82f54bcb81&view=sp"
"RMD0001457","0004310694","Peoples Telecommunications, LLC","208 N. Broadway
PO Box 450
LaCygne KS 66040","No","United States of America","None","None","None","Jennifer Leach-Harlow","CEO/GM","Office","208 N. Broadway
PO Box 450
LaCygne KS 66040","United States of America","9137572500","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-09","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0642cd5b1b77ac1064c4426de54bcb94&view=sp"
"RMD0001459","0016420713","Crocker Communications","P.O. Box 710
Greenfield MA 01302","No","United States of America","None","Crocker Telecommunications,  LLC","None","Matthew Crocker","President","Support","P.O. Box 710
Greenfield MA 01302","United States of America","4137462760","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c3e8b4af1b33ec109294113d9c4bcb40&view=sp"
"RMD0001460","0017306663","Vector Data Systems LLC","5041 Howerton Way
Ste A
Bowie MD 20715","No","United States of America","None","PEAKE Technology Partners LLC","None","Patrick Shoemaker","Partner","Ownership","5041 Howerton Way
Ste A
Bowie MD 20715","United States of America","3013581690","0036","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-10-16","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d75c052b1bfbac102eb2a82fe54bcb68&view=sp"
"RMD0001461","0018122523","Masergy Cloud Communications, Inc.","5757 West Century Blvd
Los Angeles CA 90045","No","United States of America","None","None","None","Andrew Fisher","Corporate Associate VP, Sr Deputy General Counsel","Legal","One Comcast Center
1701 John F Kennedy Boulevard
Philadephia CA 19103","United States of America","215-286-3039","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0da361a71b7360507ccf20ecac4bcb1f&view=sp"
"RMD0001462","0002008043","Hardy Telecommunications Inc","2255 Kimseys Run Rd
Lost River WV 26810","No","United States of America","0013169313 - Hardy Telecommunications, Inc., CLEC
0002008043 - Hardy Telecommunications, Inc., ILEC
0016057127 - HardyNet, LLC","HardyNet LLC","Hardy Telephone Company","Steve Poling","Network and Tech Team Manager","Network and Operations - Technical","2255 Kimseys Run Rd
Lost River WV 26810","United States of America","304-897-9911","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-01-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=accebda71bb3ec102eb2a82fe54bcb5b&view=sp"
"RMD0001463","0004273454","Molalla Telephone Company dba Molalla Communications Company","211 Robbins Street
PO Box 360
Molalla OR 97038","No","United States of America","None","Molalla Telephone Company","None","Lance Eves","COO","Operations","211 Robbins Street
Molalla OR 97038","United States of America","503-829-1100","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-14","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=17b2ea231b7320509294113d9c4bcb45&view=sp"
"RMD0001464","0007415706","Limitless Mobile, LLC","2574 Interstate Drive
Harrisburg PA 17110","No","United States of America","None","None","Keystone Wireless, LLC","Paul Snyder","Director of Data Center","Operations","2574 Interstate Drive
Harrisburg PA 17110","United States of America","4843333131","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-11-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ba6c61331bb7605064c4426de54bcbd5&view=sp"
"RMD0001465","0027555978","Junction Cloud Connections, Inc.","8 The Green STE 8115
Dover DE 19901","No","United States of America","None","None","None","Joseph Ades","COO","Administration","8 The Green STE 8115
Dover DE 19901","United States of America","3022036888","610","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-10","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7d905a731b3fa0507ccf20ecac4bcb1c&view=sp"
"RMD0001467","0018617688","Grafton Technologies, Inc.","301 Commerce Blvd
Jerseyville IL 62052","No","United States of America","Grafton Telephone Company -0005077342
Grafton Long Distance-0004988820","None","None","Susan Hamilton","Vice President","Administration","301 Commerce Blvd
Jerseyville IL 62052","United States of America","618-639-4841","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-12","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d305ea3f1b3b60509294113d9c4bcb80&view=sp"
"RMD0001468","0004533105","UBTA-UBET Communications, Inc. d/b/a STRATA Networks","211 East 200 North
PO Box 398
Roosevelt UT 84066","No","United States of America","0001601079; 0017586025; 0008809436","STRATA Networks; RINA Wireless; Uintah Basin Long Distance","UBTA-UBET Communications, Inc;  Uintah Basin Electronic Telecommunications, LLC dba UBET Wireless; Rural Independent Network Alliance, LLC, UBLD","Lance Siddoway","CO Telecom Tech","Switch","211 East 200 North
Roosevelt UT 84066","United States of America","435-622-5007","5323","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-01-08","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8841ea731bff605064c4426de54bcbe4&view=sp"
"RMD0001476","0004321030","Affinity Network, Inc.","250 Pilot Rd
Suite 220
Las Vegas NV 89119","No","United States of America","0004-3210-06
0004-3210-97","Affinity DBA's: ANI Networks, HorizonOne Communications, QuantumLink Communications, VoIP Communications, Optic Communications
NOS Communications, Inc. d/b/a 011 Communciations, International Plus, The Internet Business Association, INETBA, Ivantage Network Solutions, and Blueridge Telecom Systems
NOSVA, LP d/b/a CierraCom Systems","None","Diane Michelin","Director of Legal Compliance","Legal","250 Pilot Rd
Suite 220
Las Vegas NV 89119","United States of America","702-547-8000","","Complete STIR/SHAKEN Implementation","No","Yes","Yes","2024-02-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=595ffeb71b77a05064c4426de54bcba3&view=sp"
"RMD0001477","0030899116","OBHost LLC","16192 Costal Highway
Lewes DE 19958","No","United States of America","None","None","None","Mohammad Owais","Mr Mohammad Owais","Abuse Department","16192 Costal Highway
Lewes DE 19958","United States of America","3024401447","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2023-06-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8ecc3ec41bc8f0509294113d9c4bcb58&view=sp"
"RMD0001479","0010159515","United World Telecom LC","3333 S Congress Ave
Suite 300
Delray Beach FL 33445","No","United States of America","None","GlobalCallForwarding.com
Global Call Forwarding
UWT
uwtcallback.com","None","Lusia Tsymbrovska","Carrier Relations Manager","Operations","3333 S Congress Ave, Ste 300
Delray Beach FL 33445","United States of America","5612767156","322","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-02-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d5fdd3401b00745064c4426de54bcb92&view=sp"
